ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM1458	PubMLST	4114	GCA_030736415.1	Cronobacter sakazakii	CFSAN133257		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1459	PubMLST	4115	GCA_030721545.1	Cronobacter sakazakii	CFSAN131677		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1462	PubMLST	4118	GCA_030720965.1	Cronobacter sakazakii	FDA1213745-S071-003		USA	North America	VT	Environmental	2023	Environmental Samples
ND_PM1463	PubMLST	4119	GCA_030720665.1	Cronobacter sakazakii	FDA1176472-S054-001		USA	North America	WI	Environmental	2023	Environmental Samples
ND_PM1465	PubMLST	4121	GCA_030736115.1	Cronobacter sakazakii	CFSAN133210		USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1466	PubMLST	4122	GCA_030721385.1	Cronobacter sakazakii	CFSAN131673		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1467	PubMLST	4123	GCA_030736015.1	Cronobacter sakazakii	CFSAN133225		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1468	PubMLST	4124	GCA_030736215.1	Cronobacter sakazakii	CFSAN133229		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1469	PubMLST	4125	GCA_030736755.1	Cronobacter sakazakii	CFSAN133254		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1470	PubMLST	4126	GCA_030736175.1	Cronobacter sakazakii	CFSAN133258		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1471	PubMLST	4127	GCA_030736035.1	Cronobacter sakazakii	CFSAN133263		USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1480	PubMLST	4136	GCA_030721295.1	Cronobacter sakazakii	2016N-4133		USA	North America		Clinical	2016	Clinical and Medical Samples
ND_PM1482	PubMLST	4138	GCA_030721165.1	Cronobacter sakazakii	2016N-4110		USA	North America		Clinical	2016	Clinical and Medical Samples
ND_PM1484	PubMLST	4140	GCA_030721345.1	Cronobacter sakazakii	2017N-4003		USA	North America		Clinical	2017	Clinical and Medical Samples
ND_PM1485	PubMLST	4141	GCA_030721245.1	Cronobacter sakazakii	2019N-4003		USA	North America		Clinical	2019	Clinical and Medical Samples
ND_PM1486	PubMLST	4142	GCA_030721185.1	Cronobacter sakazakii	2018N-4031		USA	North America		Clinical	2018	Clinical and Medical Samples
ND_PM1489	PubMLST	4145	GCA_016077215.1	Cronobacter sakazakii	MOD1-1242	CFSAN043045	USA	North America		Clinical	2008	Clinical and Medical Samples
ND_PM1494	PubMLST	4153	GCA_030123825.1	Cronobacter sakazakii	MOD1-2011-21-03		USA	North America	MN	Clinical	2011	Clinical and Medical Samples
ND_PM1497	PubMLST	4156	GCA_016079865.2	Cronobacter sakazakii	FDA1024693-079-001		USA	North America	MI	Environmental	2017	Environmental Samples
ND_PM1498	PubMLST	4157	GCA_016078775.2	Cronobacter sakazakii	FDA1024695-229-001		USA	North America	MI	Environmental	2017	Environmental Samples
ND_PM1499	PubMLST	4158	GCA_028216315.1	Cronobacter sakazakii	CFSAN129392		USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1500	PubMLST	4159	GCA_023288705.1	Cronobacter sakazakii	FDA1024696-278-004		USA	North America	MI	Environmental	2017	Environmental Samples
